,region,date,min_temp,max_temp,precipitation,wind
0,ark,1949-01-01,-7.431382845711428,4.616944236059015,105.61805701425357,3.6332908227056766
1,ark,1949-02-01,-3.1569617404351087,10.151845461365342,47.54663665916479,2.967394348587147
2,ark,1949-03-01,0.9749037259314829,15.513323330832709,54.50879969992498,3.560112528132033
3,ark,1949-04-01,6.138187046761691,20.21314578644661,63.1931807951988,2.8607676919229807
4,ark,1949-05-01,12.580752688172042,25.969519879969994,127.83594648662165,2.9044786196549137
5,ark,1949-06-01,16.891685421355337,30.117456864216052,123.94596899224805,2.718339584896224
6,ark,1949-07-01,19.216296574143534,32.94162790697674,89.90609152288071,2.4469142285571395
7,ark,1949-08-01,16.75810702675669,31.907571892973245,56.23212553138285,2.2732158039509875
8,ark,1949-09-01,12.262948237059264,27.377851962990746,70.72362840710177,2.6229632408102024
9,ark,1949-10-01,7.373478369592398,22.448657164291074,84.23137784446112,3.0466241560390097
10,ark,1949-11-01,1.3162740685171292,20.06576144036009,4.012380595148787,2.8173818454613655
11,ark,1949-12-01,-3.673253313328332,11.470327581895473,41.843683420855214,3.368644661165291
12,ark,1950-01-01,-4.372180545136284,11.504308577144286,51.83456864216054,3.7064091022755687
13,ark,1950-02-01,-1.8034933733433358,14.830770192548137,44.777259314828704,3.122153038259565
14,ark,1950-03-01,-0.863158289572393,16.308077019254814,20.939742435608903,3.7056439109777446
15,ark,1950-04-01,5.239732433108277,21.538662165541385,44.3028832208052,3.669262315578895
16,ark,1950-05-01,11.204961240310077,26.079884971242812,112.50806701675418,2.874476119029757
17,ark,1950-06-01,16.54998749687422,30.89718929732433,77.23901725431358,3.2639484871217803
18,ark,1950-07-01,17.318032008002,29.66827456864216,201.20543635908976,2.6132283070767692
19,ark,1950-08-01,16.167111777944488,30.01417854463616,101.61388847211803,2.3126881720430106
20,ark,1950-09-01,13.520887721930482,26.07617404351088,88.49443110777695,2.5436034008502126
21,ark,1950-10-01,9.41300575143786,26.576991747936983,17.985743935983997,2.8084571142785695
22,ark,1950-11-01,-1.2735883970992747,16.094298574643663,11.782305576394098,3.0557639409852464
23,ark,1950-12-01,-4.995156289072268,11.717741935483872,11.828794698674669,2.718224556139035
24,ark,1951-01-01,-5.372400600150037,9.684841210302576,40.15210052513128,3.711150287571893
25,ark,1951-02-01,-2.7826931732933233,12.85755438859715,58.454368592148036,3.802015503875969
26,ark,1951-03-01,-0.6619904976244061,15.76675918979745,33.2078944736184,3.701722930732683
27,ark,1951-04-01,4.818282070517629,20.083763440860213,57.497874468617155,3.7983395848962243
28,ark,1951-05-01,11.280637659414854,25.800742685671416,112.15516129032258,3.192515628907227
29,ark,1951-06-01,15.380277569392348,28.747106776694174,150.53932733183296,2.94463615903976
30,ark,1951-07-01,19.309249812453114,33.195871467866965,84.59379844961241,2.637291822955739
31,ark,1951-08-01,19.011405351337835,34.301632908227056,55.84893723430858,2.608824706176544
32,ark,1951-09-01,12.897564391097774,28.699734933733435,83.01752688172043,2.821442860715179
33,ark,1951-10-01,7.302960740185046,22.959882470617654,65.3076544136034,3.0009577394348588
34,ark,1951-11-01,-1.5880070017504375,12.854961240310077,37.724888722180545,3.2177369342335584
35,ark,1951-12-01,-4.066374093523381,11.105381345336333,26.078819704926232,3.83399599899975
36,ark,1952-01-01,-1.906904226056514,12.825553888472118,27.219567391847963,3.694106026506627
37,ark,1952-02-01,-1.2137384346086522,13.626569142285572,31.803858464616155,3.5056939234808704
38,ark,1952-03-01,-0.49467366841710425,14.275703925981496,56.453883470867716,3.757259314828707
39,ark,1952-04-01,5.191890472618154,20.178212053013254,98.98859964991247,3.2307926981745436
40,ark,1952-05-01,10.925638909727432,26.39008252063016,73.74273568392098,3.0175793948487124
41,ark,1952-06-01,19.009687421855464,34.443673418354585,19.272505626406602,3.662775693923481
42,ark,1952-07-01,18.585183795948986,34.34730432608152,57.204598649662415,2.7999599899974994
43,ark,1952-08-01,19.38336834208552,34.93593648412103,60.54929232308077,2.682543135783946
44,ark,1952-09-01,12.7748512128032,30.636661665416355,18.98540385096274,2.43551887971993
45,ark,1952-10-01,3.7736959239809953,24.00729182295574,3.2208452113028256,2.5876019004751187
46,ark,1952-11-01,-0.5833933483370842,14.11379344836209,71.08544136034008,3.031815453863466
47,ark,1952-12-01,-3.978157039259815,9.27887471867967,34.47478869717429,2.930085021255314
48,ark,1953-01-01,-2.160995248812203,13.741617904476119,21.73805951487872,3.7431932983245813
49,ark,1953-02-01,-2.6860415103775943,13.273628407101775,35.92369592398099,3.1343985996499124
50,ark,1953-03-01,3.3268467116779195,18.843760940235057,63.83684671167792,3.191642910727682
51,ark,1953-04-01,4.50470367591898,20.316996749187297,77.44157289322331,3.428587146786697
52,ark,1953-05-01,11.09423855963991,25.711452863215804,79.48983245811453,3.357171792948237
53,ark,1953-06-01,19.28613903475869,35.55059264816204,38.32698674668667,3.353798449612403
54,ark,1953-07-01,18.913083270817705,33.01677169292323,106.92110027506877,2.6018829707426856
55,ark,1953-08-01,17.50643660915229,32.4014303575894,58.44502625656414,2.394841210302576
56,ark,1953-09-01,13.046926731682921,32.04085021255314,23.61911727931983,2.352863215803951
57,ark,1953-10-01,8.204311077769443,24.284963740935233,69.57201050262566,2.568977244311078
58,ark,1953-11-01,1.0986996749187297,15.844293573393347,43.01925481370343,2.8558089522380596
59,ark,1953-12-01,-3.8583570892723182,9.671900475118779,37.57868467116779,3.5676094023505875
60,ark,1954-01-01,-4.647456864216054,10.660942735683921,30.01317329332333,3.310757689422356
